Symbol,Description
AAB,Aberdeen International Inc
AAUC,Allied Gold Corporation
AAV,Advantage Oil & Gas Ltd
ABX,Barrick Gold Corp
AC,Air Canada
ACAA,Arrow Canadian Advantage Alternative Class
ACB,Aurora Cannabis Inc
ACB.WS.U,Aurora Cannabis Inc Ws USD
ACB.WT.U,Aurora Cannabis Inc Wts USD
ACD,Accord Financial
ACD.DB,Accord Financial Corp 7.00 Pct Debs
ACO.X,Atco Ltd Cl I NV
ACO.Y,Atco Ltd Cl II
ACQ,Autocanada Inc
AD.DB,Alaris Royalty Corp 5.50 Pct Debs
AD.DB.A,Alaris Eqty Part Inc Trust 6.25 Pct Debs
AD.UN,Alaris Equity Partners Income Trust
ADCO,Adcore Inc
ADEN,Adentra Inc
ADN,Acadian Timber Corp
ADW.A,Andrew Peller Ltd Cl A
ADW.B,Andrew Peller Ltd Cl B
AEG,Aegis Brands Inc
AEM,Agnico Eagle Mines Ltd
AEZS,Aeterna Zentaris Inc
AFN,Ag Growth International Inc
AFN.DB.F,Ag Growth Intl Inc 5.4 Pct Debs
AFN.DB.G,Ag Growth Intl Inc 5.25 Pct Debs
AFN.DB.H,Ag Growth Intl Inc 5.25 Pct Debs
AFN.DB.I,Ag Growth International Inc 5 Pct Debs
AFN.DB.J,Ag Growth Intl Inc 5.20 Pct Debs
AGF.B,AGF Management Ltd Cl B NV
AGI,Alamos Gold Inc Cls A
AGRI.RT.U,Agrinam Acquisition Corporation Rights
AGRI.WT.U,Agrinam Acquisition Corporation WT
AI,Atrium Mortgage Investment Corp
AI.DB.C,Atrium Mortgage Inv Corp 5.30 Pct Debs
AI.DB.D,Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.E,Atrium Mortgage Inv Corp 5.60 Pct Debs
AI.DB.F,Atrium Mortgage Inv Corp 5 Pct Debs
AI.DB.G,Atrium Mortgage Inv Corp 5.10 Pct Debs
AIDX,Healwell Ai Inc. Class A
AIF,Altus Group Ltd
AII,Almonty Industries Inc
AIM,Aimia Inc
AIM.PR.A,Aimia Inc Pref Ser 1
AIM.PR.C,Aimia Inc Pref Ser 3
AKE,Orocobre Limited
AKT.A,Akita Drilling Ltd Cl A NV
AKU,Akumin Inc
ALA,Altagas Ltd
ALA.PR.A,Altagas Ltd Pref A
ALA.PR.B,Altagas Ltd Pref Ser B
ALA.PR.E,Altagas Ltd Pref Ser E
ALA.PR.G,Altagas Ltd Pref G
ALA.PR.H,Altagas Ltd Pref H
ALC,Algoma Central
ALC.DB.A,Algoma Central Corp 5.25 Pct Debs
ALS,Altius Minerals Corp
ALYA,Alithya Group
AMC,Arizona Metals Corp
AMM,Almaden Minerals Ltd
AND,Andlauer Healthcare Group Inc
ANRG,Anaergia Inc
AOI,Africa Oil Corp
AOT,Ascot Resources Ltd
AP.UN,Allied Properties Real Estate Inv Trust
APLI,Appili Therapeutics Inc
APR.UN,Automotive Properties REIT
APS,Aptose Biosciences Inc
AQN,Algonquin Power and Utilities Corp
AQN.PR.A,Algonquin Power and Utilities Pref A
AQN.PR.D,Algonquin Power and Utilities Pref D
AR,Argonaut Gold Inc
AR.DB.U,Argonaut Gold Inc 4.625%
ARA,Aclara Resources Inc
ARB,Accelerate Arbitrage Fund ETF
ARE,Aecon Group Inc
ARE.DB.C,Aecon Group Inc 5.0 Pct Debs
ARG,Amerigo Resources Ltd
ARIS,Aris Gold Corporation
ARIS.WT.A,Aris Mining Corporation WT
ARIS.WT.B,Aris Mining Corporation Wts B
ARKG,BMO Ark Genomic Revolution Fund ETF
ARKK,BMO Ark Innovation Fund ETF
ARKW,BMO Ark Next Gen Internet Fund ETF
ARR,Altius Renewable Royalties Corp
ARX,Arc Resources Ltd
ASCU,Arizona Sonoran Copper Company Inc
ASM,Avino Silver and Gold Mines Ltd
ASND,Ascendant Resources Inc
ASTL,Algoma Steel Group Inc
ASTL.WT,Algoma Steel Group Inc
ATCU,Candente Copper Corp
ATD,Alimentation Couche-Tard Inc.
ATE,Antibe Therapeutics Inc
ATH,Athabasca Oil Corp
ATRL,Snc-Lavalin Group Inc
ATS,Ats Corp
ATSX,Accelerate Enhanced CDN Bm Alt Fund ETF
ATZ,Aritzia Inc
