date,open,high,low,close,volume
2025-01-02,122.29,123.14,119.44,120.63,34255912.0
2025-01-03,121.65,125.56,121.42,125.37,36785288.0
2025-01-06,129.07,130.73,127.36,129.55,48020148.0
2025-01-07,130.51,131.71,126.8537,127.33,39220408.0
2025-01-08,124.51,125.3,120.1201,121.84,46723136.0
2025-01-10,118.18,118.71,114.4501,116.04,59415482.0
2025-01-13,115.28,117.48,114.41,117.32,39128888.0
2025-01-14,118.0,118.66,114.5,116.09,37005229.0
2025-01-15,117.55,120.42,117.46,119.96,38185718.0
2025-01-16,120.24,121.09,118.25,118.44,29414120.0
2025-01-17,120.78,122.74,120.55,121.46,35765910.0
2025-01-21,122.39,123.75,121.1201,122.28,31578787.0
2025-01-22,123.08,125.65,121.912,123.75,35023802.0
2025-01-23,121.425,123.71,120.63,123.04,24920705.0
2025-01-24,124.55,125.25,122.23,122.84,31570290.0
2025-01-27,117.8,118.08,112.8,115.01,61067888.0
2025-01-28,115.175,116.15,112.95,114.17,40554754.0
2025-01-29,115.77,118.52,114.96,117.35,40199052.0
2025-01-30,118.53,120.44,117.09,118.86,29788258.0
2025-01-31,119.14,119.565,115.33,115.95,40533515.0
2025-02-03,113.875,115.16,112.98,114.27,34585951.0
2025-02-04,115.45,119.85,114.79,119.5,69412094.0
2025-02-05,107.61,112.09,106.5,112.01,110608912.0
2025-02-06,110.93,112.56,109.02,110.16,50426511.0
2025-02-07,109.13,109.92,106.79,107.56,46082423.0
2025-02-10,108.44,111.4,108.15,110.48,34905354.0
2025-02-11,108.98,113.07,108.94,111.1,35033757.0
2025-02-12,109.52,111.8356,109.0649,111.72,25319538.0
2025-02-13,112.0,114.6,110.4,111.81,40911683.0
2025-02-14,112.65,114.63,111.7,113.1,32477159.0
2025-02-18,114.05,115.55,113.45,114.28,31720307.0
2025-02-19,114.245,116.11,113.14,114.69,28807709.0
2025-02-20,115.01,116.55,113.105,114.17,27219521.0
2025-02-21,114.845,115.76,110.43,110.84,41353453.0
2025-02-24,111.49,111.6,107.98,108.11,29071771.0
2025-02-25,107.885,108.64,103.62,103.96,39169157.0
2025-02-26,104.945,105.7999,103.99,104.74,29178213.0
2025-02-27,105.08,105.76,99.5,99.51,47263724.0
2025-02-28,99.56,101.8,98.69,99.86,45194492.0
2025-03-03,101.515,102.34,97.09,98.23,38957682.0
2025-03-04,96.0,103.18,95.89,100.75,54156857.0
2025-03-05,100.36,101.84,98.87,101.67,27855287.0
2025-03-06,99.05,101.08,98.27,98.85,28984978.0
2025-03-07,98.88,100.65,96.39,100.31,33254271.0
2025-03-10,98.57,101.29,95.83,96.63,38733035.0
2025-03-11,96.79,98.1599,94.73,96.76,34078158.0
2025-03-12,99.045,101.715,98.17,100.79,34241287.0
2025-03-13,99.715,100.07,97.27,98.11,28575072.0
2025-03-14,99.64,101.22,99.58,100.97,24715177.0
2025-03-17,102.6,106.15,102.6,104.59,43689523.0
2025-03-18,103.85,104.55,102.97,103.51,27152637.0
2025-03-19,104.42,107.9,101.96,106.23,32287363.0
2025-03-20,105.12,108.26,105.12,107.14,26871839.0
2025-03-21,105.33,107.25,104.33,106.44,30767910.0
2025-03-24,109.73,114.85,109.4,113.85,53342000.0
2025-03-25,113.265,114.95,112.71,114.81,29077475.0
2025-03-26,114.11,115.8999,108.68,110.19,39976479.0
2025-03-27,106.11,107.62,105.5499,106.65,32773532.0
2025-03-28,105.525,106.51,102.48,103.22,31069104.0
2025-03-31,100.235,102.82,98.8,102.74,30865326.0
2025-04-01,102.16,102.83,100.93,102.78,23523214.0
