date,open,high,low,close,volume
2025-01-02,190.65,192.0,187.5,189.43,20370809.0
2025-01-03,191.37,193.21,189.975,191.79,18595931.0
2025-01-06,193.98,198.2222,193.85,196.87,29563511.0
2025-01-07,197.11,201.0,194.6,195.49,26486987.0
2025-01-08,192.57,196.29,192.38,193.95,24863877.0
2025-01-10,194.295,196.52,190.31,192.04,26665158.0
2025-01-13,190.07,191.18,187.36,191.01,21823649.0
2025-01-14,191.24,191.98,188.3082,189.66,17174747.0
2025-01-15,193.09,196.36,191.86,195.55,21775916.0
2025-01-16,194.14,195.48,192.81,192.91,17815243.0
2025-01-17,196.53,197.23,193.75,196.0,27735006.0
2025-01-21,199.07,202.29,197.87,198.05,29971046.0
2025-01-22,199.06,200.48,197.53,198.37,26200541.0
2025-01-23,198.14,200.3,195.2,197.98,26951321.0
2025-01-24,198.1,200.9,198.0,200.21,23877491.0
2025-01-27,192.41,196.88,190.73,191.81,41728893.0
2025-01-28,192.745,195.48,190.68,195.3,24157807.0
2025-01-29,195.555,196.785,193.43,195.41,18218164.0
2025-01-30,198.0,201.4,197.67,200.87,24354654.0
2025-01-31,202.0,205.48,201.8,204.02,32041952.0
2025-02-03,200.69,203.75,200.1,201.23,27838348.0
2025-02-04,203.39,207.05,202.81,206.38,43856423.0
2025-02-05,191.07,192.75,188.03,191.33,70461453.0
2025-02-06,189.5,192.1,188.72,191.6,29297237.0
2025-02-07,191.05,191.18,183.24,185.34,49314961.0
2025-02-10,187.35,188.2,185.86,186.47,23105347.0
2025-02-11,185.03,186.94,184.28,185.32,21239437.0
2025-02-12,183.22,185.11,181.83,183.61,22072450.0
2025-02-13,184.32,186.28,183.14,186.14,21402248.0
2025-02-14,185.055,186.4,184.32,185.23,20448333.0
2025-02-18,185.6,185.96,181.7401,183.77,29916664.0
2025-02-19,184.07,185.46,183.59,185.27,19549346.0
2025-02-20,184.8,185.31,182.72,184.56,20441389.0
2025-02-21,185.15,185.34,179.08,179.66,35199173.0
2025-02-24,181.99,183.12,178.885,179.25,29853784.0
2025-02-25,178.04,178.74,174.6939,175.42,41913208.0
2025-02-26,175.07,176.08,171.5807,172.73,35430383.0
2025-02-27,173.99,174.56,167.94,168.5,39990463.0
2025-02-28,168.68,170.61,166.77,170.28,48130550.0
2025-03-03,171.925,173.37,165.93,167.01,40770450.0
2025-03-04,166.24,173.2946,165.8,170.92,45387996.0
2025-03-05,170.52,173.78,169.06,173.02,30954907.0
2025-03-06,170.53,174.81,170.5,172.35,28301842.0
2025-03-07,171.26,174.97,170.27,173.86,27385733.0
2025-03-10,168.26,168.46,163.69,165.87,43604007.0
2025-03-11,164.91,166.75,161.37,164.04,39587390.0
2025-03-12,166.58,167.6399,163.53,167.11,28372312.0
2025-03-13,166.035,166.13,162.11,162.76,31755763.0
2025-03-14,163.27,166.49,162.45,165.49,31995793.0
2025-03-17,165.03,166.3,163.67,164.29,31184301.0
2025-03-18,163.675,164.25,156.72,160.67,42074726.0
2025-03-19,161.76,165.87,161.0,163.89,34275416.0
2025-03-20,161.57,164.89,160.96,162.8,28138439.0
2025-03-21,161.205,164.24,160.8901,163.99,36625754.0
2025-03-24,167.065,168.32,165.14,167.68,30879083.0
2025-03-25,168.98,170.63,168.315,170.56,24174369.0
2025-03-26,169.0,169.61,164.84,165.06,28939246.0
2025-03-27,164.63,165.42,162.0,162.24,24507615.0
2025-03-28,160.49,161.82,153.63,154.33,48669222.0
2025-03-31,153.11,155.54,150.662,154.64,54603404.0
2025-04-01,153.62,158.1,153.62,157.07,30672891.0
