date,open,high,low,close,volume
2025-01-02,895.5,898.58,877.0,886.73,2314866.0
2025-01-03,893.13,898.83,879.8901,881.05,2969881.0
2025-01-06,888.76,892.83,871.69,881.79,3457600.0
2025-01-07,879.38,888.0,869.11,879.19,2648888.0
2025-01-08,880.0,886.215,873.0,875.0,2347807.0
2025-01-10,866.4,866.41,834.4,837.69,4803230.0
2025-01-13,831.525,847.07,829.14,840.29,3024334.0
2025-01-14,843.2,844.8925,823.519,828.4,3037342.0
2025-01-15,836.44,850.84,830.41,848.26,3180078.0
2025-01-16,860.96,868.98,842.02,842.37,4028337.0
2025-01-17,859.79,865.0,852.13,858.1,3617198.0
2025-01-21,863.53,916.4,854.745,869.68,9851265.0
2025-01-22,998.025,999.0,950.76,953.99,14273119.0
2025-01-23,957.81,985.0,953.9,984.86,7752056.0
2025-01-24,984.41,986.28,967.68,977.59,4549625.0
2025-01-27,971.1,982.27,960.26,971.89,4634063.0
2025-01-28,966.71,977.934,957.3,971.83,3433879.0
2025-01-29,980.0,987.64,968.2345,978.15,2930382.0
2025-01-30,986.75,994.59,970.0101,973.24,3867730.0
2025-01-31,974.0,990.2892,974.0,976.76,3617420.0
2025-02-03,973.0,987.6891,964.375,978.94,3723262.0
2025-02-04,980.47,1008.0,978.51,994.87,5999780.0
2025-02-05,987.73,1011.825,986.68,1011.11,3997712.0
2025-02-06,1007.87,1016.35,1002.61,1015.68,3133102.0
2025-02-07,1017.0,1027.76,1005.6701,1013.93,3212664.0
2025-02-10,1023.05,1032.85,1015.88,1027.6,3295040.0
2025-02-11,1020.79,1022.69,1002.95,1008.08,3331492.0
2025-02-12,1005.49,1027.74,998.3473,1027.3101,3388154.0
2025-02-13,1026.625,1045.9899,1025.1,1043.6899,3475887.0
2025-02-14,1044.95,1064.5,1041.6899,1058.6,3144599.0
2025-02-18,1060.0,1062.0,1023.749,1035.85,4229339.0
2025-02-19,1035.1801,1044.9999,1024.51,1043.33,2598941.0
2025-02-20,1042.0,1045.0,1015.5941,1024.54,3111704.0
2025-02-21,1029.42,1032.38,999.39,1003.15,3738170.0
2025-02-24,1008.0,1015.17,984.48,988.47,4425926.0
2025-02-25,989.4,994.3999,955.0,977.24,4738256.0
2025-02-26,977.6,1000.89,976.9,990.06,3396109.0
2025-02-27,995.0,1000.7255,961.825,963.07,3766541.0
2025-02-28,969.56,982.27,958.17,980.56,4716119.0
2025-03-03,983.0,994.93,964.81,973.7,3907307.0
2025-03-04,971.61,986.3135,948.21,972.58,4391067.0
2025-03-05,973.62,995.5999,969.48,990.92,3807722.0
2025-03-06,972.99,973.69,899.0,906.36,7852354.0
2025-03-07,897.64,904.8859,858.07,891.11,7737459.0
2025-03-10,875.07,881.27,854.5,866.68,6995045.0
2025-03-11,867.41,910.68,866.0,895.1,7398922.0
2025-03-12,914.6,927.18,901.0,919.68,6861920.0
2025-03-13,913.0,921.8892,887.51,890.17,5001365.0
2025-03-14,901.46,919.625,901.0,918.0,5199801.0
2025-03-17,939.95,967.63,934.42,950.02,7543144.0
2025-03-18,940.0,948.2499,916.3,929.98,6009104.0
2025-03-19,935.77,968.0,924.0,959.49,6661168.0
2025-03-20,950.01,967.0,945.5,950.84,4465403.0
2025-03-21,941.635,963.6532,940.95,960.29,5905128.0
2025-03-24,969.67,977.0,951.55,971.99,4676866.0
2025-03-25,978.18,998.7,977.11,997.28,3781817.0
2025-03-26,993.81,996.79,966.32,970.65,3534059.0
2025-03-27,974.22,989.0,966.3664,976.72,3047175.0
2025-03-28,972.0,974.98,929.23,933.85,4421554.0
2025-03-31,920.53,934.48,900.59,932.53,4633594.0
2025-04-01,927.5,932.29,911.5,928.38,3518234.0
