date,open,high,low,close,volume
2025-01-02,152.88,153.66,149.89,150.21,4970230.0
2025-01-03,150.96,150.96,149.56,149.65,5221546.0
2025-01-06,149.6,149.95,146.1,146.27,9470417.0
2025-01-07,146.46,147.97,145.34,145.4,7473280.0
2025-01-08,145.4,146.67,144.56,146.54,6791848.0
2025-01-10,145.0,145.575,141.51,142.64,9632621.0
2025-01-13,142.79,145.14,142.14,144.5,8101095.0
2025-01-14,144.19,145.14,143.56,144.95,6996444.0
2025-01-15,145.49,146.2,144.17,144.78,7141266.0
2025-01-16,144.05,146.79,143.69,146.54,5067916.0
2025-01-17,147.72,148.62,147.17,148.25,7338255.0
2025-01-21,148.33,149.78,147.77,148.55,7455943.0
2025-01-22,148.23,149.45,147.79,148.09,5904802.0
2025-01-23,148.49,148.9399,146.61,148.62,4758647.0
2025-01-24,148.82,149.31,148.13,149.12,4509487.0
2025-01-27,150.92,155.47,150.895,154.61,9820418.0
2025-01-28,154.145,154.61,150.12,150.25,6349660.0
2025-01-29,151.13,152.0,150.23,150.37,4873703.0
2025-01-30,151.28,153.08,150.63,151.9,4670913.0
2025-01-31,150.76,151.69,150.27,150.69,4906409.0
2025-02-03,149.755,151.13,148.83,150.27,7196207.0
2025-02-04,146.1,147.75,143.0,143.49,12804747.0
2025-02-05,143.39,145.79,142.7,145.66,9248979.0
2025-02-06,146.26,146.9,143.96,145.35,5604603.0
2025-02-07,145.01,145.15,143.9,144.58,5872227.0
2025-02-10,144.35,144.52,143.01,144.35,8715141.0
2025-02-11,144.37,145.72,143.4,145.64,6353654.0
2025-02-12,144.04,144.78,143.03,143.99,6657980.0
2025-02-13,144.23,144.935,143.6,144.58,7175246.0
2025-02-14,144.67,146.17,143.33,143.39,5001099.0
2025-02-18,142.9,144.15,141.6,144.1,8738542.0
2025-02-19,144.23,145.93,144.15,145.81,5777108.0
2025-02-20,145.11,149.1899,145.0,149.1,6789012.0
2025-02-21,149.99,154.55,148.9,153.5,10604404.0
2025-02-24,152.34,156.32,152.12,153.85,7186859.0
2025-02-25,154.79,158.46,154.0,156.42,9474192.0
2025-02-26,155.57,155.61,151.14,151.51,9076261.0
2025-02-27,150.9,152.6893,149.93,152.02,6730241.0
2025-02-28,153.7,155.1,152.35,153.47,8455479.0
2025-03-03,151.35,156.15,150.5,155.99,8321121.0
2025-03-04,157.335,160.15,153.96,154.19,10273764.0
2025-03-05,152.93,155.34,152.725,153.88,5578685.0
2025-03-06,154.17,154.97,152.53,154.61,8420929.0
2025-03-07,153.25,157.59,152.77,154.44,8997537.0
2025-03-10,155.875,160.08,155.37,156.25,11156892.0
2025-03-11,155.79,156.05,151.805,152.33,7980762.0
2025-03-12,147.545,149.525,146.51,148.17,8329749.0
2025-03-13,148.37,150.475,148.06,148.34,5350996.0
2025-03-14,147.13,149.16,147.08,148.59,5277467.0
2025-03-17,149.23,151.67,149.13,151.34,5449634.0
2025-03-18,150.0,151.3,148.75,148.99,8158556.0
2025-03-19,148.16,148.88,146.795,148.11,6079883.0
2025-03-20,147.56,148.065,146.64,147.15,4536243.0
2025-03-21,147.0,147.7,144.75,145.45,11574672.0
2025-03-24,145.485,146.72,144.83,146.45,5968801.0
2025-03-25,146.15,146.3,144.83,145.54,4763105.0
2025-03-26,146.0,149.33,145.75,148.64,5884926.0
2025-03-27,149.59,150.41,149.09,149.67,5397392.0
2025-03-28,150.44,151.38,147.11,149.27,8550560.0
2025-03-31,150.2,152.59,149.7463,149.94,9985464.0
2025-04-01,150.485,150.795,148.665,149.67,6072733.0
